id;gender;if_gamer;game_genres;Typologia1:1;Typologia1:2;Typologia1:3;Typologia1:4;Typologia1:5;Typologia1:6;Typologia1:7;Typologia1:8;Typologia1:9;Typologia1:10;Typologia1:11;Typologia1:12;Typologia1:13;Typologia1:14;Typologia1:15;Typologia1:16;Typologia1:17;Typologia1:18;SPOLECZNIK;ODKRYWCA;ZDOBYWCA;ZABOJCA;player_type;stroop_reaction_prcnt;stroop_reaction_time_avg;stroop_reaction_compatible_prcnt;stroop_reaction_time_compatible_avg;stroop_reaction_incompatible_prcnt;stroop_reaction_time_incompatible_avg;n_back_reaction_avg;n_back_reaction_time_avg;n_back_match_percentage;n_back_miss_percentage;n_back_false_alarm_percentage;attention_reaction_time_avg;attention_reaction_time_avg_5_dist;attention_reaction_time_avg_10_dist;attention_reaction_time_avg_15_dist;attention_reaction_time_avg_20_dist;attention_status_prcnt;attention_status_prcnt_5_dist;attention_status_prcnt_10_dist;attention_status_prcnt_15_dist;attention_status_prcnt_20_dist
s.3340f4f3-d4e1-4249-ac99-cd03d81f96d4.txt;2;0;nan;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;0,96;769,24;1,0;723,4285714285714;0,9444444444444444;787,0555555555555;0,95;551,1818181818181;0,36666666666666664;0,016666666666666666;0,03333333333333333;687,88;639,5;667,6666666666666;697,1428571428571;745,6666666666666;1,0;1,0;1,0;1,0;1,0
s.3dc4f6dc-27f4-4b6e-b075-2d8fcb6e90cd.txt;2;1;League of Legends, tes V Skyrim, PlanetSide 2~~;7,0;3,0;2,0;3,0;4,0;1,0;1,0;6,0;7,0;7,0;7,0;7,0;7,0;1,0;7,0;7,0;1,0;7,0;12;21;9;3;2;0,82;705,98;0,9375;553,0625;0,7647058823529411;777,9411764705883;0,7333333333333333;405,38461538461536;0,21666666666666667;0,21666666666666667;0,05;716,6538461538462;486,2857142857143;603,6666666666666;1094,0;720,4285714285714;0,98;1,0;1,0;1,0;0,9285714285714286
s.b95d4659-7dc4-4bd9-9d21-528377af596b.txt;1;0;nan;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;0,9;1204,36;1,0;1001,8333333333334;0,868421052631579;1268,3157894736842;0,9;985,7777777777778;0,15;0,1;0,0;1178,0;869,6666666666666;1136,5;1382,8333333333333;1352,0;1,0;1,0;1,0;1,0;1,0
s.b4812d61-2550-4193-815b-601427355d57.txt;2;1;League of Legends;2,0;3,0;3,0;3,0;3,0;5,0;3,0;5,0;5,0;3,0;5,0;5,0;5,0;3,0;5,0;5,0;3,0;3,0;7;6;3;3;1;0,9;874,76;1,0;797,3333333333334;0,868421052631579;899,2105263157895;0,9833333333333333;734,0;0,16666666666666666;0,016666666666666666;0,0;1129,4347826086957;894,5714285714286;962,8;1315,7142857142858;1422,75;0,98;1,0;1,0;1,0;0,9166666666666666
s.9daea833-fa5f-4b11-90f8-1e76fa65279e.txt;2;1;League of Legends, Persona 5, GTA 5;3,0;1,0;4,0;7,0;3,0;2,0;2,0;6,0;3,0;3,0;5,0;3,0;5,0;3,0;6,0;6,0;2,0;3,0;9;4;10;4;3;0,86;789,28;1,0;676,3333333333334;0,8;837,6857142857143;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
s.066260cd-4de1-4ed4-9829-49fe57a3e1a5.txt;2;1;Leauge of legends~~Osu!~~Soma~~Call of duty warzone;7,0;1,0;1,0;4,0;2,0;6,0;1,0;4,0;4,0;4,0;6,0;7,0;7,0;2,0;7,0;7,0;2,0;4,0;7;15;7;5;2;0,98;635,34;1,0;609,7692307692307;0,972972972972973;644,3243243243244;0,9833333333333333;530,3461538461538;0,43333333333333335;0,0;0,016666666666666666;936,2307692307693;667,1666666666666;766,5;931,5714285714286;1317,0;1,0;1,0;1,0;1,0;1,0
s.be9e6b20-e31b-4c07-9fbc-e9164837f697.txt;2;1;League of Legends~~CS GO~~Gothic~~;7,0;1,0;1,0;3,0;3,0;1,0;1,0;1,0;7,0;7,0;5,0;7,0;7,0;7,0;3,0;5,0;1,0;2,0;9;19;14;1;2;0,88;745,88;1,0;657,2;0,85;768,05;0,9833333333333333;693,2727272727273;0,36666666666666664;0,0;0,016666666666666666;680,7307692307693;535,0;638,1428571428571;768,8333333333334;772,7142857142857;0,98;1,0;1,0;0,9230769230769231;1,0
s.3044b740-5c8e-43da-b1a9-38a7a8a9f049.txt;1;0;nan;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;0,98;702,28;0,9;563,5;1,0;736,975;0,95;510,6;0,25;0,05;0,0;784,3333333333334;563,3333333333334;728,5714285714286;877,0;1016,4;1,0;1,0;1,0;1,0;1,0
s.cb068863-3dc6-4c54-8792-f40e6cd786dc.txt;2;1;League of legends, minecraft, valorant;1,0;7,0;7,0;7,0;1,0;1,0;7,0;1,0;1,0;1,0;7,0;1,0;7,0;1,0;7,0;7,0;7,0;1,0;12;3;18;21;4;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
s.674f5a41-ded6-4bee-a499-bd3681dec110.txt;2;1;lol rocket league;7,0;4,0;2,0;6,0;2,0;7,0;7,0;1,0;7,0;1,0;6,0;6,0;2,0;1,0;1,0;4,0;4,0;4,0;5;10;10;11;4;0,82;1034,78;1,0;827,6666666666666;0,7804878048780488;1080,2439024390244;0,85;825,5833333333334;0,2;0,15;0,0;938,1818181818181;719,6666666666666;836,8;990,1666666666666;1239,4;0,98;1,0;1,0;1,0;0,9230769230769231
